video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mGmIvhtIM9k&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumCoop,Aquarium Co-Op,Top 10 Aquarium Fish For Beginners,1.8M,7 years,"Visit https://aquariumcoop.com/ to buy aquarium plants, lights, fish food, and more from Aquarium Co-Op Buy fish at ...",2026-01-20 22:16:35.474259
/watch?v=DW6P7JQ5EQw&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KGTropicals,KGTropicals,YES You CAN Buy These Top 10 Fish At PETSMART or PETCO!!,717K,5 years,Get all the extra benefits by becoming a channel member. https://www.youtube.com/channel/UCyyGJeKITfR7Y5cq2zX4-oQ/join ...,2026-01-20 22:16:35.478711
/watch?v=ZoPBbAxSkJg&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@BRStv,BRStv - Saltwater Aquariums & Reef Tanks,5 beginner fish EVERY saltwater aquarium should have! Stocking a tank with utilitarian fish,339K,6 years,What kind of saltwater fish are best for a new tank or saltwater aquarium beginners? How about saltwater fish that serve a purpose ...,2026-01-20 22:16:35.482953
/shorts/icQ6ACjik9E,/@outdoorjoe,Outdoor Joe,Top 5 Easiest Fish To Catch (for beginners),203K,9 months,Top 5 Easiest Fish To Catch (for beginners) Like and subscribe! #fishing #fishingfun #beginnerfishing #fishingvideo #fishinglife.,2026-01-20 22:16:35.484371
/watch?v=9V0VfKCk2OA&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumStoreDepot,Aquarium Store Depot,Here Are The 10 BEST Beginner Tropical Fish...,10K,1 year,"Looking for Best Beginner Tropical Fish in the hobby? If yes, this video is for you! We go over the top 10 that any beginner should ...",2026-01-20 22:16:35.491541
/shorts/ZGaX0GejEW0,/@1MinuteAnimals,1 Minute Animals,Goldfish 🐟 Easiest Fish For Beginners?,115K,1 year,Goldfish - Easiest Fish For Beginners? Which animal would you like to see next? Send your request here ...,2026-01-20 22:16:35.494453
/watch?v=XylB-EQ_adw&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumStoreDepot,Aquarium Store Depot,Easiest Fish to Care For (Beginner Aquarium Fish),12K,2 years,"Are you looking for the Easiest Fish To Take Care Of for your aquarium? In this video, we cover what makes a fish low ...",2026-01-20 22:16:35.504273
/watch?v=Vo1YRxxAx2g&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@MichaelKaal-TriFisher,Michael Kaal,Fishing 101: The Basics You Need to Start Fishing Today!,55K,1 year,Ill teach you Fishing 101: The Basics You Need to Start Fishing Today! After watching this video you should be more confident ...,2026-01-20 22:16:35.507283
/watch?v=AgaqTCtHGYA&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KGTropicals,KGTropicals,The Most Amazing Fish Combos For A 10 Gallon Aquarium,311K,1 year,Get all the extra benefits by becoming a channel member. https://www.youtube.com/channel/UCyyGJeKITfR7Y5cq2zX4-oQ/join ...,2026-01-20 22:16:35.510133
/watch?v=kf_5MuHj6Qk&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@thefishfiles,The Fish Files,Best Fish That Are Small Fish For Your Aquarium – Easy Nano Aquarium fish for Beginners!,96K,2 years,"For all your aquarium Hobbyist needs https://www.aquariumfishsale.com/ Use code: ""JPS10"" for 10 percent off every purchase!",2026-01-20 22:16:35.514339
/watch?v=rRLlD9q9id4&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KeepingFishSimple,KeepingFishSimple,Top 10 Aquarium Fish for Beginners,217K,6 years,"ONLINE STORE - https://keepingfishsimple.com/ In this video, I discuss the best freshwater fish for a beginner aquarium.",2026-01-20 22:16:35.518225
